Picea,Pinus,Alnus,Betula,Quercus,Ambrosia,Chenopodiaceae
0.02271090365182419,0.0,0.06427498125349781,-0.0,0.013171750012157306,-0.01618544279878589,0.03364786513576299
0.010244350911795347,0.0006870963691002197,0.04342999843123948,0.006997621041497503,0.0,0.03106752380807499,0.08381547114349663
0.0036540395919711457,0.0,0.0,0.0,0.0,0.0003015387659409368,0.13817023798340192
0.0,-0.0001639815714329221,-0.0,0.002667735238893665,0.0,0.08483756839153703,0.0
0.0015168770931348703,0.0009914857877710733,0.0,-0.0027311099081917564,0.02391342866257824,-0.01905554847785339,0.06941466128833021
0.015578435412954887,0.0,0.044127014348488744,0.0004367745431507347,0.0,-0.0,0.14705888030335443
0.003917066029514713,0.0021916248604031347,-0.0,-0.0,0.0,0.0,0.0
0.01956191500613721,0.0,0.024823020619239466,0.0008651302311392203,0.019412233688242186,0.010369916122570712,0.05241868283965673
0.005360609334653895,0.00025668225450611604,0.012375314911846002,-0.0,-0.0021469355654082914,-0.0,0.0
0.0,0.0,0.05084139957045457,0.0,0.0,0.0,-0.0
-0.0,0.0,0.0,0.010316560032006957,0.01910108299930588,0.0,0.01603777614178219
-0.0,0.0,0.041723774712125364,0.0,0.03238280964775156,0.0,0.11868867671709409
-0.0007469763563321672,0.0,0.03726641652087272,0.005760914411819351,0.014803272017403245,0.09285377578825389,0.003204865846020056
0.0,-0.0,0.0,-0.00018668194767876298,0.050073368512672495,0.0,0.0
0.0,-0.0007268317131532734,0.05746276525213438,0.0037649817445226806,-0.007479034605576637,0.0,0.031132441024506564
0.016710542223592098,0.0007963598896608947,0.05293034085492549,0.0021573850905975125,0.017777510912474752,0.01914982274985571,0.055857647814805546
0.0,0.0022495228753347746,0.011725883766344971,0.008897234231383312,0.02512172621531762,0.078736201701369,0.0
0.0,0.0001764112971602579,0.0,0.0,0.0,0.0,0.11991626162585094
0.012355957606258745,0.00022876241317726297,0.0,0.00016368626447056648,-0.0,0.00870619309646075,0.12639301193835362
0.007270272288424521,0.002470650350267164,0.007349873476517519,0.00471837860772494,0.0403491595272037,0.04557962122878436,0.010773871203771504
