r,k
0.07523347419370549,1.1898527701358241
0.06721750901917943,1.1607441100665499
0.06093396801179425,0.9255213047978026
0.08113183688666761,0.8496137661822988
0.09733875868922745,0.8397625648114959
0.09836412859499967,1.177371729504533
0.07828959853902859,1.020757740320425
0.09183038914381725,1.1941958681579223
0.06419923086404167,1.010807651431963
0.06837319654833694,1.03834796542764
0.06965818468913373,0.8661470649964943
0.06504566254420092,1.1851800572570939
0.08295745941840704,0.8357872594376173
0.0880072205785628,1.104551482695321
0.08555107513519652,0.8475426308741203
0.09369184149564405,1.0842005936825416
0.09879634043455991,0.8706500969170519
0.06801464086607095,0.9138134215328031
0.09470137114295168,0.8923229020829536
0.07299862332732576,0.9160827977393254
0.0699536136387704,0.8282180220396351
0.08027659264778372,1.022106729030642
0.0905943553961316,0.9045623102993533
0.08749422479834956,0.9254132961715901
0.0838330030065112,1.1132343658649964
0.09228043734446842,1.0762712611917218
0.09466963472966121,0.9256519273285534
0.0937375952610596,1.1351173919212838
0.06550323539808281,0.8600076500220402
0.08495012757854137,0.9531802684901228
0.0617752054319335,0.9630562283094054
0.078849879167989,0.9448997100071519
0.08071769429774893,0.8974069451884507
0.07000207946732409,1.1867904754064689
0.08990395725456458,0.8636106813665088
0.07402533263919318,1.067725822943367
0.09895836707594144,1.167973127231984
0.08961611788957172,0.8298663621390456
0.0910936075699603,1.1568747475639465
0.06242694011187257,0.8719185190632351
0.06465584503701409,0.9818923894154573
0.0896194727227026,0.87414556358522
0.07178674454081647,1.0989550431821908
0.09903885383966357,0.9827713183869815
0.06294359201663045,0.8460951589916261
0.08541140662676765,1.16027782512611
0.07899360761021579,0.881150371026415
0.0656859562492474,0.9807754179599598
0.07953264390407501,0.815199170509886
0.0751107618497977,0.9835246457588664
0.08164548191004847,0.8311431120346296
0.08004568667371176,1.1127601636686184
0.08715111144034172,0.8900872337746533
0.09926118698603299,1.1773599232816234
0.09494473251910007,1.0903723503541396
0.09195623357317151,0.9104125982430651
0.09965689165780117,0.9989194758657858
0.06744859852444597,1.1696091342241242
0.07503173348539896,0.9866496887321772
0.07708941705274758,1.138490815443106
0.07040067535634187,1.0317117774838747
0.07996505100752915,1.040352618362209
0.0649091159268922,1.182978660617593
0.09177162995739406,0.8143269466631171
0.09367087227621847,0.8756580987895526
0.08922456820605079,0.8588654828556822
0.07940960066011943,1.0801580987255057
0.08601379811365577,0.9960048304983599
0.07652544308841124,0.8617770148723634
0.0782368181913628,1.0714502195533515
0.0669534015778916,1.125723161738647
0.06420733377945315,0.8805709901455512
0.07317496134684184,1.1756023532594748
0.07897350967359455,0.8132655837816382
0.09712279644335395,0.8485453004619008
0.07219278486944307,0.8849376128337384
0.06322729205333112,0.8648639842639644
0.06259799460095535,0.9719838744535972
0.07794481667758847,1.1339461813000815
0.07687003255166072,1.060012804343641
0.07663004872143851,1.0172917089675308
0.07632846006593669,1.0836704305936429
0.0683332219978871,1.1980021673227808
0.06871591667896265,1.185828531841376
0.07174843995083661,1.0413676883049994
0.08855123206845404,1.0314228977057214
0.09263844276686277,0.9244845555004719
0.06155358610588572,0.9667470854873819
0.07188872827889839,1.0917192107996887
0.08558821401517824,0.9955861819816196
0.09461923241192807,0.9315533287076527
0.08775311432342908,1.0491871147751985
0.07246685913323644,1.0256904643132525
0.09462486990630017,0.9546399409938588
0.09997218997723413,1.0866284165426865
0.09470001573144873,1.1013893840708862
0.07908844423553357,0.9746586836476135
0.08810444114250815,1.0893289903469079
0.06919617690582465,0.8747119858292893
0.07498482440684638,1.1231754994040315
